Date,SP500,DAX40,NASDAQ,FTSE100,IBEX35,10YIELD,BITCOIN,EURO,GOOGLE,CSI
2014-11-01,2067.560059,9980.849609,4791.629883,6722.600098,10770.7002,2.194000006,378.0469971,1.243796587,27.45400047,86.9
2014-12-01,2058.899902,9805.549805,4736.049805,6566.100098,10279.5,2.170000076,320.1929932,1.216204762,26.53300095,88.8
2015-01-01,1994.98999,10694.32031,4635.240234,6749.399902,10403.2998,1.674999952,217.4640045,1.128795505,26.87750053,93.6
2015-02-01,2104.5,11401.66016,4963.529785,6946.700195,11178.2998,2.002000093,254.2630005,1.119795799,28.13150024,98.1
2015-03-01,2067.889893,11966.16992,4900.879883,6773,11521.09961,1.934000015,244.223999,1.083024621,27.73500061,95.4
2015-04-01,2085.51001,11454.37988,4941.419922,6960.600098,11385,2.046000004,236.1450043,1.111432195,27.43849945,93
2015-05-01,2107.389893,11413.82031,5070.029785,6984.399902,11217.59961,2.095000029,230.1900024,1.096034527,27.26600075,95.9
2015-06-01,2063.110107,10944.96973,4986.870117,6521,10769.5,2.335000038,263.071991,1.122296691,27.00200081,90.7
2015-07-01,2103.840088,11308.99023,5128.279785,6696.299805,11180.7002,2.204999924,284.6499939,1.093924403,32.875,96.1
2015-08-01,1972.180054,10259.45996,4776.509766,6247.899902,10259,2.200000048,230.0559998,1.121403098,32.39099884,93.1
2015-09-01,1920.030029,9660.44043,4620.160156,6061.600098,9559.900391,2.059999943,236.0599976,1.125593781,31.9185009,91.9
2015-10-01,2079.360107,10850.13965,5053.75,6361.100098,10360.7002,2.151000023,314.1659851,1.100897193,36.86949921,87.2
2015-11-01,2080.409912,11382.23047,5108.669922,6356.100098,10386.90039,2.217999935,377.3210144,1.058301806,38.14250183,90
2015-12-01,2043.939941,10743.00977,5007.410156,6242.299805,9544.200195,2.269000053,430.5669861,1.093398094,38.90050125,91.3
2016-01-01,1940.23999,9798.110352,4613.950195,6083.799805,8815.799805,1.930999994,368.7669983,1.082590818,38.06750107,92.6
2016-02-01,1932.22998,9495.400391,4557.950195,6097.100098,8461.400391,1.74000001,437.696991,1.09239471,35.86100006,92
2016-03-01,2059.73999,9965.509766,4869.850098,6174.899902,8723.099609,1.786000013,416.7290039,1.133465528,38.14500046,91.7
2016-04-01,2065.300049,10038.96973,4775.359863,6241.899902,9025.700195,1.819000006,448.3179932,1.14483285,35.39400101,91
2016-05-01,2096.949951,10262.74023,4948.049805,6230.799805,9034,1.833999991,531.3859863,1.114839673,37.44250107,89
2016-06-01,2098.860107,9680.089844,4842.669922,6504.299805,8163.299805,1.488000035,673.3369751,1.112805009,35.17649841,94.7
2016-07-01,2173.600098,10337.5,5162.129883,6724.399902,8587.200195,1.457999945,624.6810303,1.116806865,39.56700134,93.5
2016-08-01,2170.949951,10592.69043,5213.220215,6781.5,8716.799805,1.567999959,575.4719849,1.115324497,39.49250031,90
2016-09-01,2168.27002,10511.01953,5312,6899.299805,8779.400391,1.60800004,609.7349854,1.121956706,40.20299911,89.8
2016-10-01,2126.149902,10665.00977,5189.140137,6954.200195,9143.299805,1.833999991,700.9719849,1.098466516,40.49499893,91.2
2016-11-01,2198.810059,10640.2998,5323.680176,6783.799805,8688.200195,2.368000031,745.690979,1.064849257,38.79399872,87.2
2016-12-01,2238.830078,11481.05957,5383.120117,7142.799805,9352.099609,2.446000099,963.742981,1.052000403,39.62250137,93.8
2017-01-01,2278.870117,11535.30957,5614.790039,7099.200195,9315.200195,2.450999975,970.4030151,1.070858717,41.0094986,98.2
2017-02-01,2363.639893,11834.41016,5825.439941,7263.399902,9555.5,2.35800004,1179.969971,1.058425069,42.24649811,98.5
2017-03-01,2362.719971,12312.87012,5911.740234,7322.899902,10462.90039,2.395999908,1071.790039,1.068707228,42.38999939,96.3
2017-04-01,2384.199951,12438.00977,6047.609863,7203.899902,10715.7998,2.282000065,1347.890015,1.090750456,46.22600174,96.9
2017-05-01,2411.800049,12615.05957,6198.52002,7520,10880,2.196000099,2286.409912,1.117168665,49.35449982,97
2017-06-01,2423.409912,12325.12012,6140.419922,7312.700195,10444.5,2.302000046,2480.840088,1.144164801,46.48400116,97.1
2017-07-01,2470.300049,12118.25,6348.120117,7372,10502.2002,2.292000055,2875.340088,1.174729228,47.27500153,95
2017-08-01,2471.649902,12055.83984,6428.660156,7430.600098,10299.5,2.121000051,4703.390137,1.189343452,47.76200104,93.4
2017-09-01,2519.360107,12828.86035,6495.959961,7372.799805,10381.5,2.325999975,4338.709961,1.174163699,48.68600082,96.8
2017-10-01,2575.26001,13229.57031,6727.669922,7493.100098,10523.5,2.375999928,6468.399902,1.165270329,51.65200043,95.1
2017-11-01,2647.580078,13023.98047,6873.970215,7326.700195,10211,2.417000055,10233.59961,1.185199261,51.80849838,100.7
2017-12-01,2673.610107,12917.63965,6903.390137,7687.799805,10043.90039,2.404999971,14156.40039,1.200004816,52.66999817,98.5
2018-01-01,2823.810059,13189.48047,7411.47998,7533.600098,10451.5,2.720000029,10221.09961,1.240956545,59.11100006,95.9
2018-02-01,2713.830078,12435.84961,7273.009766,7231.899902,9840.299805,2.868000031,10397.90039,1.223032117,55.19599915,95.7
2018-03-01,2640.870117,12096.73047,7063.450195,7056.600098,9600.400391,2.740999937,6973.529785,1.233197689,51.85699844,99.7
2018-04-01,2648.050049,12612.11035,7066.27002,7509.299805,9980.599609,2.936000109,9240.549805,1.212282777,50.92900085,101.4
2018-05-01,2705.27002,12604.88965,7442.120117,7678.200195,9465.5,2.822000027,7494.169922,1.166725039,55,98.8
2018-06-01,2718.370117,12306,7510.299805,7636.899902,9622.700195,2.848999977,6404,1.170494199,56.45949936,98
2018-07-01,2816.290039,12805.5,7671.790039,7748.799805,9870.700195,2.963999987,7780.439941,1.170740843,61.36100006,98.2
2018-08-01,2901.52002,12364.05957,8109.540039,7432.399902,9399.099609,2.852999926,7037.580078,1.166466355,61.59000015,97.9
2018-09-01,2913.97998,12246.73047,8046.350098,7510.200195,9389.200195,3.055999994,6625.560059,1.162304163,60.35400009,96.2
2018-10-01,2711.73999,11447.50977,7305.899902,7128.100098,8893.5,3.15899992,6317.609863,1.134635806,54.52899933,100.1
2018-11-01,2760.169922,11257.24023,7330.540039,6980.200195,9077.200195,3.013000011,4017.268555,1.139276624,55.48249817,98.6
2018-12-01,2506.850098,10558.95996,6635.279785,6728.100098,8539.900391,2.686000109,3742.700439,1.14399457,52.2480011,97.5
2019-01-01,2704.100098,11173.09961,7281.740234,6968.899902,9056.700195,2.63499999,3457.792725,1.148765087,56.29449844,98.3
2019-02-01,2784.48999,11515.63965,7532.529785,7074.700195,9277.700195,2.710999966,3854.7854,1.138018966,56.32749939,91.2
2019-03-01,2834.399902,11526.04004,7729.319824,7279.200195,9240.299805,2.414000034,4105.404297,1.123305202,58.8445015,93.8
2019-04-01,2945.830078,12344.08008,8095.390137,7418.200195,9570.599609,2.509000063,5350.726563,1.118518233,59.94800186,98.4
2019-05-01,2752.060059,11726.83984,7453.149902,7161.700195,9004.200195,2.14199996,8574.501953,1.113114715,55.32500076,97.2
2019-06-01,2941.76001,12398.7998,8006.240234,7425.600098,9198.799805,2,10817.15527,1.13909483,54.13999939,100
2019-07-01,2980.379883,12189.04004,8175.419922,7586.799805,8971,2.020999908,10085.62793,1.1157974,60.90999985,98.2
2019-08-01,2926.459961,11939.28027,7962.879883,7207.200195,8812.900391,1.506000042,9630.664063,1.101200342,59.5265007,98.4
2019-09-01,2976.73999,12428.08008,7999.339844,7408.200195,9244.599609,1.674999952,8293.868164,1.094271421,61.05699921,89.8
2019-10-01,3037.560059,12866.79004,8292.360352,7248.399902,9257.5,1.690999985,9199.584961,1.115448952,62.93999863,93.2
2019-11-01,3140.97998,13236.37988,8665.469727,7346.5,9352,1.776000023,7569.629883,1.101999998,65.20449829,95.5
2019-12-01,3230.780029,13249.00977,8972.599609,7542.399902,9549.200195,1.91900003,7193.599121,1.120229721,66.96949768,96.8
2020-01-01,3225.52002,12981.96973,9150.94043,7286,9367.900391,1.519999981,9350.529297,1.102912784,71.63899994,99.3
2020-02-01,2954.219971,11890.34961,8567.370117,6580.600098,8723.200195,1.126999974,8599.508789,1.103000402,66.96250153,99.8
2020-03-01,2584.590088,9935.839844,7700.100098,5672,6785.399902,0.698000014,6438.644531,1.103046656,58.09749985,101
2020-04-01,2912.429932,10861.63965,8889.549805,5901.200195,6922.299805,0.621999979,8658.553711,1.087725043,67.33499908,89.1
2020-05-01,3044.310059,11586.84961,9489.870117,6076.600098,7096.5,0.648000002,9461.058594,1.111000061,71.6760025,71.8
2020-06-01,3100.290039,12310.92969,10058.76953,6169.700195,7231.399902,0.652999997,9137.993164,1.124720216,70.90249634,72.3
2020-07-01,3271.120117,12313.36035,10745.26953,5897.799805,6877.399902,0.536000013,11323.4668,1.187225461,74.39749908,78.1
2020-08-01,3500.310059,12945.37988,11775.45996,5963.600098,6969.5,0.693000019,11680.82031,1.191824079,81.47650146,72.5
2020-09-01,3363,12760.73047,11167.50977,5866.100098,6716.600098,0.676999986,10784.49121,1.174205065,73.27999878,74.1
2020-10-01,3269.959961,11556.48047,10911.58984,5577.299805,6452.200195,0.860000014,13780.99512,1.167678595,80.80549622,80.4
2020-11-01,3621.629883,13291.16016,12198.74023,6266.200195,8076.899902,0.843999982,19625.83594,1.197146058,87.72000122,81.8
2020-12-01,3756.070068,13718.78027,12888.28027,6460.5,8073.700195,0.916999996,29001.7207,1.229989648,87.63200378,76.9
2021-01-01,3714.23999,13432.87012,13070.69043,6407.5,7757.5,1.093000054,33114.35938,1.213900089,91.36799622,80.7
2021-02-01,3811.149902,13786.29004,13192.34961,6483.399902,8225,1.460000038,45137.76953,1.207360625,101.0954971,79
2021-03-01,3972.889893,15008.33984,13246.87012,6713.600098,8580,1.746000051,58918.83203,1.17236042,103.1259995,76.8
2021-04-01,4181.169922,15135.91016,13962.67969,6969.799805,8815,1.631000042,57750.17578,1.212709188,117.6750031,84.9
2021-05-01,4204.109863,15421.12988,13748.74023,7022.600098,9148.900391,1.58099997,37332.85547,1.219006777,117.8424988,88.3
2021-06-01,4297.5,15531.04004,14503.9502,7037.5,8821.200195,1.442999959,35040.83594,1.190192819,122.0895004,82.9
2021-07-01,4395.259766,15544.38965,14672.67969,7032.299805,8675.700195,1.238999963,41626.19531,1.186780214,134.7265015,85.5
2021-08-01,4522.680176,15835.08984,15259.24023,7119.700195,8846.599609,1.30400002,47166.6875,1.17969048,144.6974945,81.2
2021-09-01,4307.540039,15260.69043,14448.58008,7086.399902,8796.299805,1.529000044,43790.89453,1.160160184,133.6759949,70.3
2021-10-01,4605.379883,15688.76953,15498.38965,7237.600098,9057.700195,1.557000041,61318.95703,1.156136155,148.0460052,72.8
2021-11-01,4567,15100.12988,15537.69043,7059.5,8305.099609,1.442999959,57005.42578,1.129343748,141.8975067,71.7
2021-12-01,4766.180176,15884.86035,15644.96973,7384.5,8713.799805,1.511999965,46306.44531,1.132502794,144.852005,67.4
2022-01-01,4515.549805,15471.2002,14239.87988,7464.399902,8612.799805,1.781999946,38483.125,1.115237474,135.3034973,70.6
2022-02-01,4373.939941,14461.01953,13751.40039,7458.299805,8479.200195,1.838999987,43193.23438,1.118105412,135.0570068,67.2
2022-03-01,4530.410156,14414.75,14220.51953,7515.700195,8445.099609,2.326999903,45538.67578,1.116183519,139.0675049,62.8
2022-04-01,4131.930176,14097.87988,12334.63965,7544.600098,8584.200195,2.887000084,37714.875,1.054629803,114.1094971,59.4
